,designer,count
0,5148630,2
1,2643171,109
2,4856430,4
3,7313551,49
4,136603,14
5,2859886,103
6,1638334,4
7,9956218,6
8,1464728,22
9,6843922,22
10,9419,329
11,767355,5
12,770037,53
13,6117768,21
14,676650,22
15,18528,135
16,115494,40
17,126100,1
18,7727740,18
19,3680277,43
20,8358259,5
21,4712589,3
22,64449,146
23,57225,94
24,6310930,270
25,49486,257
26,1007908,43
27,6036143,16
28,9438021,2
29,261685,62
30,131551,6
31,311451,178
32,9438724,13
33,4186395,22
34,4409406,36
35,8264835,26
36,2159596,92
37,8672572,6
38,4278555,5
39,2144125,19
40,6036088,57
41,8880292,573
42,4580738,17
43,972014,223
44,1190044,21
45,3895380,19
46,1017553,15
47,6770728,19
48,6486666,71
49,6110351,2
50,1693959,20
51,1693960,139
52,4797255,38
53,716500,1
54,214504,567
55,1315427,4
56,10060180,4
57,271258,87
58,4580642,45
59,4966071,17
60,10359375,7
61,3045273,2
62,361771,67
63,21130,31
64,40518,8
65,5281995,34
66,85732,78
67,10555427,7
68,1719619,13
69,5327561,9
70,6724713,16
71,900525,11
72,303233,79
73,262267,58
74,339193,40
75,4062914,4
76,3762682,119
77,6036032,44
78,230090,486
79,6979,96
80,5499,37
81,303827,12
82,7631713,3
83,4828911,1
84,788837,261
85,5367032,2
86,2241325,1
87,3766288,10
88,2151854,5
89,96102,10
90,8373720,12
91,4929438,1
92,4062915,2
93,746702,68
94,9475308,13
95,913425,22
96,1634841,48
97,5060953,95
98,5220345,40
99,2765,1156
100,716218,2
101,4062,278
102,5048216,24
103,191681,150
104,164430,239
105,5831443,7
106,868582,293
107,6114017,4
108,8685,268
109,66941,10
110,48935,317
111,359376,7
112,8895308,11
113,1903468,73
114,5358092,60
115,4942490,14
116,3018328,353
117,750170,39
118,6827502,9
119,6337501,28
120,3168464,23
121,218241,40
122,14395,31
123,5958339,40
124,10041599,4
125,396629,3
126,384692,30
127,185663,141
128,2954715,1
129,87332,18
130,175944,36
131,8264820,3
132,1237273,5
133,115796,101
134,228660,20
135,7540241,14
136,109176,262
137,2327807,118
138,1870253,2
139,10062149,13
140,6639510,10
141,2013977,8
142,10007925,1
143,4206218,5
144,3000017,46
145,235652,202
146,10198838,66
147,82090,2
148,271954,263
149,8043,12
150,825159,47
151,6898120,6
152,796104,86
153,4237779,4
154,1628782,46
155,3192986,8
156,992629,7
157,6629361,10
158,8877190,25
159,8358837,10
160,7463402,3
161,896146,19
162,3543122,23
163,1378102,47
164,18914,36
165,4662913,61
166,5675899,13
167,396978,3
168,3071,453
169,79167,32
170,366821,14
171,50848,1
172,153189,17
173,979999,143
174,7025496,35
175,49902,7
176,9109704,1
177,11068,16
178,10029059,124
179,11785,18
180,9092638,10
181,524448,6
182,6215943,94
183,6112288,1
184,282990,32
185,4859053,28
186,309292,1
187,20417,3
188,551270,3
189,3902,74
190,43854,205
191,2456859,13
192,5934292,8
193,2144126,12
194,3594788,19
195,125734,1
196,805934,1
197,580741,306
198,1110698,18
199,1850585,32
200,3947982,8
201,3303804,15
202,4038024,39
203,9096433,7
204,10061433,20
205,3742153,6
206,9546763,13
207,4344102,56
208,764868,2
209,19448,30
210,1098957,12
211,1186,165
212,36241,13
213,6790,318
214,222039,2
215,2682082,367
216,407345,2
217,2049573,15
218,719090,1
219,733736,1
220,2819478,19
221,1102024,10
222,897791,3
223,7252467,5
224,299867,53
225,3680256,141
226,6485630,61
227,569906,322
228,32072,17
229,948086,1
230,87752,168
231,9109705,11
232,315686,17
233,6310904,29
234,3422316,4
235,2745175,10
236,3762655,4
237,10256674,10
238,803578,97
239,92762,45
240,131835,16
241,128656,16
242,1741833,1
243,134637,35
244,3982191,1
245,5683927,8
246,587501,56
247,10198823,9
248,1205036,3
249,225063,2
250,10364633,2
251,269632,71
252,3613401,66
253,2450,502
254,100108,9
255,10007622,3
256,5343122,65
257,15652,182
258,18370,751
259,4315264,9
260,4975235,167
261,8185479,4
262,4289947,6
263,402663,107
264,2425248,1
265,506932,54
266,15350,42
267,145020,5
268,6959,6
269,67332,71
270,1447619,206
271,874854,3
272,10380344,7
273,56951,81
274,9364338,21
275,227629,69
276,1612629,23
277,2931242,2
278,2548595,9
279,3468977,15
280,9807150,5
281,3539485,18
282,305540,1
283,961016,19
284,1476245,15
285,3616427,42
286,11769,13
287,116888,5
288,9955769,6
289,893,22
290,4942475,15
291,797501,20
292,1685426,15
293,2716100,60
294,3468960,18
295,10490956,11
296,4660787,7
297,872161,1
298,286598,73
299,4399433,8
300,6578900,22
301,3428613,5
302,31341,27
303,218640,161
304,154813,15
305,5862561,9
306,3773521,16
307,6407079,18
308,1234837,85
309,1354288,10
310,68871,117
311,343405,168
312,1024698,1
313,872133,1
314,7871282,9
315,233599,8
316,379352,68
317,1078172,82
318,6215987,2
319,5048081,60
320,306529,22
321,412694,12
322,4219973,18
323,3494618,57
324,19047,1073
325,6486578,9
326,8414096,14
327,4072529,108
328,5247470,7
329,55033,106
330,6796013,23
331,50123,12
332,2223594,1
333,3004954,10
334,193788,90
335,101511,23
336,1667628,38
337,4249430,32
338,3536927,4
339,3286146,18
340,397646,2
341,9377470,1
342,90739,736
343,4181,2
344,6147668,46
345,2682726,19
346,650994,2
347,8016387,16
348,8822582,41
349,769627,1988
350,1280229,50
351,9491,6
352,28041,20
353,1504119,25
354,756314,11
355,3444901,6
356,307134,2
357,8233742,1
358,74174,97
359,120314,39
360,50666,425
361,148476,25
362,85114,555
363,9350950,16
364,920259,70
365,17119,9
366,146426,19
367,480825,11
368,6639632,4
369,8779693,19
370,6441838,7
371,8745590,6
372,9991196,1
373,123770,3
374,825223,14
375,5425870,266
376,7758304,74
377,5589921,155
378,3977820,233
379,4988092,59
380,82812,157
381,262164,50
382,6417092,26
383,6864,118
384,190721,87
385,2097676,1
386,2628192,2
387,7270108,13
388,21433,3
389,4219953,39
390,5862150,76
391,1183455,3
392,6965377,11
393,10845712,1
394,4009605,25
395,562451,5
396,9086503,100
397,6765440,11
398,18074,13
399,396986,110
400,319577,313
401,4660752,6
402,2418404,4
403,5592001,12
404,1036266,19
405,28725,55
406,1280231,14
407,120150,104
408,37722,19
409,3762661,2
410,5190,490
411,8170799,12
412,876185,3
413,1022684,120
414,5755,186
415,4095688,1
416,72746,25
417,819081,7
418,4662906,1
419,1038222,60
420,84485,59
421,1493706,1
422,110127,134
423,5319803,10
424,2029668,33
425,153143,2
426,8520151,9
427,4209854,1
428,3494666,4
429,134387,20
430,9370592,11
431,397659,98
432,1859723,110
433,3496657,3
434,57889,2486
435,1039439,15
436,7017835,9
437,5282157,20
438,17095,3
439,10678694,11
440,2541392,205
441,10335124,3
442,78703,48
443,696026,7
444,4194737,23
445,6725041,10
446,6414991,43
447,5833537,9
448,450885,25
449,6487928,8
450,113040,252
451,2103,180
452,2188884,4
453,10701666,6
454,51777,275
455,7368079,3
456,7018093,24
457,2067047,57
458,5220351,103
459,2747,1139
460,10528950,1
461,3539517,142
462,9193804,5
463,549774,27
464,1263846,10
465,6358,14
466,338326,36
467,13916,249
468,2954623,46
469,5321177,4
470,5545,259
471,7389367,7
472,161679,97
473,1599050,3
474,3422322,161
475,220252,20
476,6415045,6
477,418704,74
478,59639,30
479,26488,98
480,3168454,2
481,393230,151
482,12405,220
483,506282,140
484,8070736,3
485,4619137,1
486,339767,521
